2019-04-11 17:58:48 INFO - {"AWT-EventQueue-0":["L221,0, 12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-11":["CG04,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-23":["T101,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-22":["XG14,2,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-25":["XG14,1,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-24":["T101,2,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-26":["T101,3,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-27":["L221,1,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-28":["XG14,2,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-29":["CG04,4,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-30":["T101,6,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-33":["T101,4,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-11":["T101,5,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-35":["T101,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-34":["CG04,5,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-31":["T101,2,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-37":["T101,3,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-38":["T101,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-32":["XG14,1,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-36":["XG14,4,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-39":["L221,6,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-40":["T101,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-23":["CG04,2,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-41":["XG14,6,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-43":["CG04,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-42":["XG14,5,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-39":["XG14,5,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-60":["T101,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-57":["CG04,5,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-58":["XG14,4,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-44":["XG14,6,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-40":["XG14,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-73":["T101,4,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-66":["L221,1,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-45":["CG04,5,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-59":["CG04,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-65":["T101,3,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-61":["XG14,2,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-68":["T101,5,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-52":["CG04,4,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-74":["CG04,5,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-50":["CG04,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-72":["XG14,1,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-75":["T101,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-70":["T101,6,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-77":["T101,3,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-46":["XG14,1,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-53":["CG04,5,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-54":["L221,3,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-56":["XG14,3,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-81":["T101,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-82":["XG14,6,9-10"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-62":["T101,4,10-11"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-78":["T101,1,11-12"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-76":["XG14,4,12-1"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-67":["XG14,2,1-2"]} 
2019-04-11 17:58:54 INFO - {"pool-1-thread-79":["CG04,2,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-48":["T101,5,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-55":["L221,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-47":["CG04,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-71":["T101,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-63":["T101,2,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-51":["L221,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-80":["L221,6,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-69":["CG04,4,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-64":["XG14,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-49":["CG04,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-83":["T101,6,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-87":["L221,6,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-86":["XG14,3,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-90":["L221,5,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-85":["CG04,4,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-88":["L221,5,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-89":["T101,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-91":["XG14,5,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-92":["T101,6,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-93":["T101,4,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-83":["T101,6,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-86":["T101,2,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-96":["T101,1,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-94":["L221,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-97":["CG04,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-87":["T101,5,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-106":["CG04,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-107":["T101,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-95":["T101,4,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-100":["CG04,6,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-105":["CG04,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-108":["CG04,5,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-109":["CG04,4,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-101":["CG04,1,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-99":["T101,3,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-102":["L221,2,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-98":["L221,3,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-104":["L221,4,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-112":["XG14,5,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-111":["T101,5,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-113":["T101,1,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-110":["XG14,2,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-115":["T101,5,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-116":["L221,4,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-114":["CG04,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-103":["XG14,6,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-117":["L221,3,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-120":["CG04,3,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-119":["XG14,6,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-118":["CG04,6,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-121":["T101,6,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-123":["XG14,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-124":["XG14,3,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-122":["L221,4,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-125":["CG04,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-126":["XG14,4,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-90":["XG14,6,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-127":["CG04,5,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-89":["CG04,4,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-128":["CG04,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-85":["T101,3,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-91":["T101,3,10-11"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-134":["T101,1,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-143":["T101,1,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-129":["T101,6,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-146":["T101,3,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-140":["T101,2,12-1"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-119":["L221,2,11-12"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-130":["CG04,4,1-2"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-136":["XG14,5,9-10"]} 
2019-04-11 17:58:55 INFO - {"pool-1-thread-174":["T101,3,10-11"]} 
2019-04-11 17:58:56 INFO - {"pool-1-thread-137":["T101,6,9-10"]} 
2019-04-11 17:58:56 INFO - {"pool-1-thread-155":["CG04,4,12-1"]} 
